Round Number, Network Remaining Energy
454,20.282937
455,20.243029
456,20.233259
457,20.190743
458,20.140603
459,20.094988
460,20.048776
461,20.038204
462,19.995070
463,19.951725
464,19.910650
465,19.861400
466,19.808885
467,19.767935
468,19.727534
469,19.679160
470,19.633697
471,19.592314
472,19.549068
473,19.500218
474,19.434211
475,19.396174
476,19.356507
477,19.352986
478,19.305199
479,19.258678
480,19.210675
481,19.166912
482,19.126700
483,19.086478
484,19.044843
485,19.032611
486,18.993166
487,18.945796
488,18.887354
489,18.849243
490,18.811251
491,18.772579
492,18.759794
493,18.714025
494,18.671811
495,18.630878
496,18.593152
497,18.551107
498,18.504291
499,18.465548
500,18.421808
501,18.383211
502,18.341576
503,18.303116
504,18.255333
505,18.211702
506,18.195251
507,18.154228
508,18.111568
509,18.065883
510,18.024451
511,17.983401
512,17.940819
513,17.901468
514,17.859017
515,17.847759
516,17.802566
517,17.762330
518,17.715127
519,17.669270
520,17.624874
521,17.583107
522,17.537951
523,17.496761
524,17.454549
525,17.412273
526,17.368222
527,17.328884
528,17.314128
529,17.271454
530,17.227489
531,17.185088
532,17.139769
533,17.096512
534,17.054406
535,17.014707
536,16.978492
537,16.971333
538,16.926716
539,16.879604
540,16.837850
541,16.826009
542,16.781943
543,16.741452
544,16.697106
545,16.657133
546,16.610890
547,16.561542
548,16.520378
549,16.478764
550,16.439725
551,16.394657
552,16.350810
553,16.347472
554,16.307439
555,16.264367
556,16.222438
557,16.182333
558,16.142391
559,16.099982
560,16.072040
561,16.033286
562,15.991730
563,15.954362
564,15.913003
565,15.872773
566,15.824901
567,15.781080
568,15.738108
569,15.693964
570,15.653770
571,15.609382
572,15.563910
573,15.522884
574,15.474101
575,15.437154
576,15.394819
577,15.355101
578,15.316503
579,15.280083
580,15.237382
581,15.200547
582,15.153071
583,15.113568
584,15.075549
585,15.036381
586,14.999116
587,14.977827
588,14.938779
589,14.899078
590,14.852153
591,14.814265
592,14.768265
593,14.730797
594,14.690079
595,14.671488
596,14.633024
597,14.595144
598,14.559244
599,14.519799
600,14.480459
601,14.438383
602,14.402552
603,14.362476
604,14.323192
605,14.284164
606,14.274227
607,14.236913
608,14.199755
609,14.161157
610,14.120467
611,14.105429
612,14.066094
613,14.027739
614,13.991077
615,13.955126
616,13.907313
617,13.871590
618,13.831926
619,13.795023
620,13.758434
621,13.723040
622,13.683412
623,13.640743
624,13.606128
625,13.570489
626,13.533633
627,13.519100
628,13.481403
629,13.441628
630,13.403989
631,13.364681
632,13.324174
633,13.308070
634,13.270217
635,13.234626
636,13.197740
637,13.162491
638,13.124935
639,13.088700
640,13.049320
641,13.009011
642,12.972941
643,12.930656
644,12.894549
645,12.857670
646,12.848109
647,12.809389
648,12.770466
649,12.733965
650,12.691162
651,12.654853
652,12.616740
653,12.579852
654,12.543763
655,12.506650
656,12.468682
657,12.434200
658,12.395169
659,12.384364
660,12.371086
661,12.333704
662,12.295526
663,12.259553
664,12.222351
665,12.187189
666,12.150923
667,12.115310
668,12.080940
669,12.044280
670,12.010892
671,11.973823
672,11.936964
673,11.898434
674,11.895522
675,11.855508
676,11.819404
677,11.778405
678,11.743884
679,11.706691
680,11.669792
681,11.634163
682,11.597076
683,11.525787
684,11.489690
685,11.454885
686,11.421464
687,11.385017
688,11.347238
689,11.344200
690,11.310172
691,11.273880
692,11.237243
693,11.200881
694,11.164842
695,11.124773
696,11.086740
697,11.051966
698,11.016768
699,10.988184
700,10.950009
701,10.909228
702,10.872912
703,10.863842
704,10.824567
705,10.787763
706,10.752806
707,10.716309
708,10.679245
709,10.638297
710,10.604972
711,10.565510
712,10.528647
713,10.490658
714,10.463866
715,10.429661
716,10.387846
717,10.351824
718,10.314984
719,10.280194
720,10.245954
721,10.212168
722,10.204885
723,10.168753
724,10.132230
725,10.094481
726,10.061160
727,10.026969
728,9.992982
729,9.952082
730,9.917175
731,9.878397
732,9.840810
733,9.803798
734,9.763735
735,9.740193
736,9.705093
737,9.670295
738,9.635355
739,9.601402
740,9.563226
741,9.529672
742,9.496916
743,9.461955
744,9.424563
745,9.392100
746,9.357537
747,9.346752
748,9.312233
749,9.276525
750,9.242906
751,9.231982
752,9.199180
753,9.160901
754,9.128461
755,9.095616
756,9.060895
757,9.026975
758,8.989676
759,8.955111
760,8.920310
761,8.887052
762,8.883707
763,8.850298
764,8.814279
765,8.779538
766,8.744388
767,8.704754
768,8.671522
769,8.638317
770,8.604763
771,8.566529
772,8.532918
773,8.500214
774,8.467201
775,8.433923
776,8.398986
777,8.365047
778,8.328997
779,8.296463
780,8.261568
781,8.224632
782,8.191526
783,8.158112
784,8.122860
785,8.089721
786,8.050924
787,8.017793
788,8.014730
789,7.980517
790,7.947897
791,7.911533
792,7.908160
793,7.869167
794,7.835576
795,7.802490
796,7.766062
797,7.729562
798,7.696305
799,7.664175
800,7.632234
801,7.598415
802,7.563102
803,7.527296
804,7.492880
805,7.457921
806,7.419960
807,7.387969
808,7.349880
809,7.317664
810,7.279362
811,7.263150
812,7.227659
813,7.193179
814,7.160057
815,7.123535
816,7.090611
817,7.057552
818,7.019810
819,6.982591
820,6.949599
821,6.915698
822,6.879193
823,6.845722
824,6.809433
825,6.775362
826,6.743497
827,6.707097
828,6.693919
829,6.659326
830,6.637600
831,6.604308
832,6.567958
833,6.535376
834,6.496609
835,6.462160
836,6.426045
837,6.392571
838,6.358574
839,6.314443
840,6.281359
841,6.243169
842,6.208728
843,6.166431
844,6.133967
845,6.101579
846,6.068752
847,6.035595
848,6.001895
849,5.998568
850,5.966258
851,5.935283
852,5.903001
853,5.870045
854,5.838996
855,5.807896
856,5.776749
857,5.743467
858,5.709432
859,5.677322
860,5.645290
861,5.613757
862,5.590431
863,5.557756
864,5.526930
865,5.493162
866,5.462470
867,5.428306
868,5.397026
869,5.366590
870,5.336073
871,5.302677
872,5.271307
873,5.240777
874,5.219657
875,5.186581
876,5.155405
877,5.124309
878,5.093822
879,5.063209
880,5.029156
881,5.000381
882,4.983763
883,4.952154
884,4.922748
885,4.892560
886,4.868689
887,4.838352
888,4.808549
889,4.780783
890,4.755073
891,4.723694
892,4.716439
893,4.688892
894,4.662068
895,4.624339
896,4.594230
897,4.569235
898,4.534690
899,4.507031
900,4.480075
901,4.451984
902,4.421902
903,4.395180
904,4.384087
905,4.356055
906,4.304967
907,4.277576
908,4.251753
909,4.224832
910,4.201976
911,4.173154
912,4.147850
913,4.122227
914,4.096605
915,4.067030
916,4.041486
917,4.015870
918,3.996033
919,3.970844
920,3.944097
921,3.919381
922,3.892659
923,3.867710
924,3.842109
925,3.818289
926,3.793737
927,3.785617
928,3.760060
929,3.733864
930,3.728482
931,3.704077
932,3.678008
933,3.653874
934,3.629165
935,3.605165
936,3.581018
937,3.554544
938,3.525300
939,3.500571
940,3.474713
941,3.451810
942,3.427354
943,3.425277
944,3.400864
945,3.375449
946,3.350509
947,3.327146
948,3.304674
949,3.280778
950,3.271178
951,3.248936
952,3.227161
953,3.204845
954,3.184081
955,3.162651
956,3.141447
957,3.113593
958,3.108707
959,3.088050
960,3.069461
961,3.049130
962,3.028426
963,3.007165
964,2.986447
965,2.961705
966,2.940037
967,2.912776
968,2.891280
969,2.871119
970,2.850517
971,2.830725
972,2.811037
973,2.791725
974,2.771823
975,2.751990
976,2.732245
977,2.712294
978,2.696407
979,2.668559
980,2.648811
981,2.628854
982,2.609293
983,2.589431
984,2.569354
985,2.551868
986,2.532622
987,2.508878
988,2.487831
989,2.462247
990,2.442116
991,2.439496
992,2.420014
993,2.399629
994,2.379943
995,2.359486
996,2.341465
997,2.316287
998,2.298036
999,2.280286
1000,2.255783
1001,2.234831
1002,2.213231
1003,2.183973
1004,2.176173
1005,2.158160
1006,2.145276
1007,2.129280
1008,2.113002
1009,2.097043
1010,2.081602
1011,2.066354
1012,2.050382
1013,2.032298
1014,2.017699
1015,2.007001
