Round Number, Total Energy Consumption
454,29.717063
455,29.756971
456,29.766741
457,29.809257
458,29.859397
459,29.905012
460,29.951224
461,29.961796
462,30.004930
463,30.048275
464,30.089350
465,30.138600
466,30.191115
467,30.232065
468,30.272466
469,30.320840
470,30.366303
471,30.407686
472,30.450932
473,30.499782
474,30.565789
475,30.603826
476,30.643493
477,30.647014
478,30.694801
479,30.741322
480,30.789325
481,30.833088
482,30.873300
483,30.913522
484,30.955157
485,30.967389
486,31.006834
487,31.054204
488,31.112646
489,31.150757
490,31.188749
491,31.227421
492,31.240206
493,31.285975
494,31.328189
495,31.369122
496,31.406848
497,31.448893
498,31.495709
499,31.534452
500,31.578192
501,31.616789
502,31.658424
503,31.696884
504,31.744667
505,31.788298
506,31.804749
507,31.845772
508,31.888432
509,31.934117
510,31.975549
511,32.016599
512,32.059181
513,32.098532
514,32.140983
515,32.152241
516,32.197434
517,32.237670
518,32.284873
519,32.330730
520,32.375126
521,32.416893
522,32.462049
523,32.503239
524,32.545451
525,32.587727
526,32.631778
527,32.671116
528,32.685872
529,32.728546
530,32.772511
531,32.814912
532,32.860231
533,32.903488
534,32.945594
535,32.985293
536,33.021508
537,33.028667
538,33.073284
539,33.120396
540,33.162150
541,33.173991
542,33.218057
543,33.258548
544,33.302894
545,33.342867
546,33.389110
547,33.438458
548,33.479622
549,33.521236
550,33.560275
551,33.605343
552,33.649190
553,33.652528
554,33.692561
555,33.735633
556,33.777562
557,33.817667
558,33.857609
559,33.900018
560,33.927960
561,33.966714
562,34.008270
563,34.045638
564,34.086997
565,34.127227
566,34.175099
567,34.218920
568,34.261892
569,34.306036
570,34.346230
571,34.390618
572,34.436090
573,34.477116
574,34.525899
575,34.562846
576,34.605181
577,34.644899
578,34.683497
579,34.719917
580,34.762618
581,34.799453
582,34.846929
583,34.886432
584,34.924451
585,34.963619
586,35.000884
587,35.022173
588,35.061221
589,35.100922
590,35.147847
591,35.185735
592,35.231735
593,35.269203
594,35.309921
595,35.328512
596,35.366976
597,35.404856
598,35.440756
599,35.480201
600,35.519541
601,35.561617
602,35.597448
603,35.637524
604,35.676808
605,35.715836
606,35.725773
607,35.763087
608,35.800245
609,35.838843
610,35.879533
611,35.894571
612,35.933906
613,35.972261
614,36.008923
615,36.044874
616,36.092687
617,36.128410
618,36.168074
619,36.204977
620,36.241566
621,36.276960
622,36.316588
623,36.359257
624,36.393872
625,36.429511
626,36.466367
627,36.480900
628,36.518597
629,36.558372
630,36.596011
631,36.635319
632,36.675826
633,36.691930
634,36.729783
635,36.765374
636,36.802260
637,36.837509
638,36.875065
639,36.911300
640,36.950680
641,36.990989
642,37.027059
643,37.069344
644,37.105451
645,37.142330
646,37.151891
647,37.190611
648,37.229534
649,37.266035
650,37.308838
651,37.345147
652,37.383260
653,37.420148
654,37.456237
655,37.493350
656,37.531318
657,37.565800
658,37.604831
659,37.615636
660,37.628914
661,37.666296
662,37.704474
663,37.740447
664,37.777649
665,37.812811
666,37.849077
667,37.884690
668,37.919060
669,37.955720
670,37.989108
671,38.026177
672,38.063036
673,38.101566
674,38.104478
675,38.144492
676,38.180596
677,38.221595
678,38.256116
679,38.293309
680,38.330208
681,38.365837
682,38.402924
683,38.474213
684,38.510310
685,38.545115
686,38.578536
687,38.614983
688,38.652762
689,38.655800
690,38.689828
691,38.726120
692,38.762757
693,38.799119
694,38.835158
695,38.875227
696,38.913260
697,38.948034
698,38.983232
699,39.011816
700,39.049991
701,39.090772
702,39.127088
703,39.136158
704,39.175433
705,39.212237
706,39.247194
707,39.283691
708,39.320755
709,39.361703
710,39.395028
711,39.434490
712,39.471353
713,39.509342
714,39.536134
715,39.570339
716,39.612154
717,39.648176
718,39.685016
719,39.719806
720,39.754046
721,39.787832
722,39.795115
723,39.831247
724,39.867770
725,39.905519
726,39.938840
727,39.973031
728,40.007018
729,40.047918
730,40.082825
731,40.121603
732,40.159190
733,40.196202
734,40.236265
735,40.259807
736,40.294907
737,40.329705
738,40.364645
739,40.398598
740,40.436774
741,40.470328
742,40.503084
743,40.538045
744,40.575437
745,40.607900
746,40.642463
747,40.653248
748,40.687767
749,40.723475
750,40.757094
751,40.768018
752,40.800820
753,40.839099
754,40.871539
755,40.904384
756,40.939105
757,40.973025
758,41.010324
759,41.044889
760,41.079690
761,41.112948
762,41.116293
763,41.149702
764,41.185721
765,41.220462
766,41.255612
767,41.295246
768,41.328478
