Round Number, Network Remaining Energy
-1,100.000000
1,99.996257
2,99.897831
3,99.804416
4,99.710591
5,99.615890
6,99.520809
7,99.428164
8,99.333564
9,99.235663
10,99.140448
11,99.046471
12,98.950422
13,98.857822
14,98.766580
15,98.668607
16,98.574526
17,98.477285
18,98.387186
19,98.287808
20,98.197375
21,98.104853
22,98.011399
23,97.918976
24,97.825949
25,97.726429
26,97.632708
27,97.539556
28,97.440049
29,97.345303
30,97.249740
31,97.158233
32,97.065981
33,96.970728
34,96.875083
35,96.781338
36,96.688783
37,96.592364
38,96.497173
39,96.404016
40,96.312449
41,96.220637
42,96.128479
43,96.037520
44,95.944965
45,95.848420
46,95.842652
47,95.837581
48,95.833013
49,95.828368
50,95.821119
51,95.812420
52,95.807778
53,95.714600
54,95.623756
55,95.619555
56,95.528092
57,95.433776
58,95.339917
59,95.335875
60,95.244853
61,95.149729
62,95.052108
63,94.960061
64,94.870243
65,94.862287
66,94.768813
67,94.674453
68,94.579924
69,94.483009
70,94.390648
71,94.299486
72,94.206579
73,94.109686
74,94.016496
75,93.919293
76,93.914870
77,93.820751
78,93.726417
79,93.632522
80,93.538370
81,93.532755
82,93.437707
83,93.342201
84,93.248047
85,93.149546
86,93.049656
87,93.043936
88,92.950754
89,92.856728
90,92.766029
91,92.672100
92,92.666905
93,92.569899
94,92.469818
95,92.375924
96,92.281072
97,92.275818
98,92.182188
99,92.090295
100,92.085045
101,92.080013
102,91.988269
103,91.888808
104,91.797012
105,91.793147
106,91.698522
107,91.605537
108,91.512864
109,91.508241
110,91.414693
111,91.318171
112,91.220506
113,91.125856
114,91.033837
115,90.941783
116,90.845379
117,90.752204
118,90.653689
119,90.648920
120,90.550112
121,90.458555
122,90.453837
123,90.359316
124,90.263692
125,90.163050
126,90.152301
127,90.145922
128,90.054330
129,89.963217
130,89.870471
131,89.773740
132,89.769800
133,89.675832
134,89.581932
135,89.577475
136,89.573646
137,89.482772
138,89.390355
139,89.291342
140,89.192667
141,89.095137
142,89.001697
143,88.901289
144,88.896748
145,88.799477
146,88.707566
147,88.613238
148,88.515658
149,88.420288
150,88.325780
151,88.318955
152,88.228570
153,88.133037
154,88.036234
155,87.946466
156,87.851473
157,87.846732
158,87.751948
159,87.654005
160,87.555376
161,87.551938
162,87.458277
163,87.365969
164,87.270758
165,87.176019
166,87.170969
167,87.075518
168,86.981160
169,86.889081
170,86.883238
171,86.791422
172,86.697889
173,86.604302
174,86.598176
175,86.503233
176,86.409337
177,86.315453
178,86.222662
179,86.218504
180,86.120089
181,86.027326
182,85.931277
183,85.926425
184,85.835098
185,85.741286
186,85.648570
187,85.552856
188,85.548419
189,85.453528
190,85.359523
191,85.266337
192,85.173143
193,85.168078
194,85.077094
195,84.985389
196,84.891786
197,84.800586
198,84.709051
199,84.617048
200,84.612218
201,84.517339
202,84.422258
203,84.418329
204,84.321723
205,84.225465
206,84.133526
207,84.128861
208,84.033906
209,83.941979
210,83.935136
211,83.842403
212,83.749565
213,83.659758
214,83.571432
215,83.566782
216,83.473571
217,83.380182
218,83.281703
219,83.190556
220,83.096803
221,83.002290
222,82.905031
223,82.812733
224,82.714420
225,82.622466
226,82.617625
227,82.520044
228,82.422009
229,82.328389
230,82.232810
231,82.229451
232,82.136870
233,82.043636
234,81.953256
235,81.949320
236,81.853063
237,81.848671
238,81.750924
239,81.655697
240,81.645390
241,81.550552
242,81.539315
243,81.442941
244,81.350303
245,81.257648
246,81.166471
247,81.073345
248,81.068497
249,80.975910
250,80.878584
251,80.786126
252,80.688010
253,80.593939
254,80.495574
255,80.489548
256,80.398707
257,80.299657
258,80.207049
259,80.115500
260,80.019171
261,79.923056
262,79.827752
263,79.823465
264,79.818686
265,79.725003
266,79.627112
267,79.527610
268,79.433664
269,79.342411
270,79.248726
271,79.154684
272,79.062913
273,78.971810
274,78.966550
275,78.872223
276,78.777470
277,78.681783
278,78.584301
279,78.491319
280,78.394886
281,78.388377
282,78.297469
283,78.201460
284,78.107846
285,78.014657
286,78.010553
287,77.918775
288,77.911207
289,77.818970
290,77.729857
291,77.636808
292,77.627730
293,77.534435
294,77.439045
295,77.341484
296,77.243243
297,77.148555
298,77.054198
299,76.960832
300,76.956891
301,76.857226
302,76.852662
303,76.762989
304,76.668612
305,76.664345
306,76.571585
307,76.479706
308,76.475876
309,76.380677
310,76.287985
311,76.195037
312,76.102367
313,76.098019
314,76.006520
315,76.002541
316,75.909459
317,75.812307
318,75.720645
319,75.621410
320,75.526786
321,75.429272
322,75.334789
323,75.329943
324,75.235892
325,75.141911
326,75.135376
327,75.040564
328,74.948366
329,74.849658
330,74.754090
331,74.659506
332,74.560830
333,74.466906
334,74.463307
335,74.372546
336,74.279268
337,74.184525
338,74.088705
339,73.988710
340,73.891381
341,73.886590
342,73.794448
343,73.790533
344,73.700423
345,73.695866
346,73.595796
347,73.504792
348,73.409325
349,73.316432
350,73.312278
351,73.218334
352,73.123221
353,73.028014
354,73.024116
355,72.929361
356,72.832423
357,72.740637
358,72.736183
359,72.636081
360,72.627814
361,72.531526
362,72.431368
363,72.338255
364,72.328144
365,72.229565
366,72.138902
367,72.043624
368,71.949255
369,71.857186
370,71.760501
371,71.664892
372,71.564806
373,71.468119
374,71.376815
375,71.284616
376,71.191199
377,71.097560
378,71.004256
379,70.998239
380,70.906698
381,70.813890
382,70.713770
383,70.623514
384,70.527777
385,70.436610
386,70.432161
387,70.428470
388,70.330161
389,70.237414
390,70.232614
391,70.137177
392,70.044265
393,69.947801
394,69.856842
395,69.851920
396,69.751782
397,69.658363
398,69.565151
399,69.469038
400,69.375702
401,69.279871
402,69.181815
403,69.087993
404,68.993315
405,68.895827
406,68.803170
407,68.707248
408,68.614465
409,68.518882
410,68.426446
411,68.323040
412,68.232603
413,68.228349
414,68.134563
415,68.036758
416,67.942888
417,67.938847
418,67.934695
419,67.930226
420,67.831430
421,67.740987
422,67.647171
423,67.643000
424,67.551042
425,67.545822
426,67.453575
427,67.358293
428,67.349283
429,67.253379
430,67.162027
431,67.070512
432,66.978760
433,66.876708
434,66.785048
435,66.778064
436,66.677291
437,66.579002
438,66.482485
439,66.386154
440,66.295828
441,66.200156
442,66.105668
443,66.004100
444,65.911300
445,65.816195
446,65.724773
447,65.629459
448,65.537496
449,65.445755
450,65.441247
451,65.349783
452,65.258168
453,65.158936
454,65.066967
455,65.062701
456,65.057986
457,64.961699
458,64.868476
459,64.864312
460,64.773173
461,64.677695
462,64.585076
463,64.488351
464,64.397945
465,64.304092
466,64.212980
467,64.208485
468,64.201913
469,64.106008
470,64.013796
