Round Number, No of CH
843,5
844,5
845,5
846,6
847,6
848,5
849,5
850,5
851,6
852,5
853,5
854,5
855,5
856,5
857,5
858,4
859,5
860,4
861,5
862,5
863,5
864,5
865,4
866,5
867,4
868,4
869,5
870,5
871,5
872,4
873,5
874,5
875,5
876,5
877,5
878,5
879,5
880,5
881,4
882,5
883,6
884,4
885,5
886,5
887,5
888,4
889,4
890,5
891,5
892,5
893,5
894,4
895,6
896,5
897,5
898,5
899,5
900,5
901,6
902,5
903,4
904,5
905,5
906,6
907,5
908,6
909,5
910,5
911,5
912,5
913,6
914,5
915,5
916,5
917,5
918,5
919,5
920,5
921,5
922,6
923,4
924,4
925,4
926,5
927,5
928,5
929,5
930,5
931,4
932,5
933,4
934,5
935,6
936,5
937,5
938,5
939,5
940,5
941,5
942,5
943,5
944,5
945,6
946,6
947,6
948,5
949,4
950,4
951,5
952,5
953,4
954,5
955,5
956,5
957,6
958,5
959,4
960,4
961,5
962,4
963,5
964,5
965,5
966,5
967,5
968,5
969,5
970,5
971,6
972,4
973,6
974,5
975,5
976,4
977,5
978,5
979,5
980,5
981,5
982,5
983,6
984,4
985,6
986,5
987,6
988,5
989,4
990,5
991,5
992,5
993,5
994,6
995,4
996,5
997,4
998,6
999,5
1000,5
1001,5
1002,5
1003,4
1004,4
1005,4
1006,6
1007,5
1008,5
1009,5
1010,5
1011,4
1012,5
1013,4
1014,4
1015,4
1016,5
1017,5
1018,4
1019,4
1020,4
1021,6
1022,6
1023,5
1024,5
1025,6
1026,6
1027,5
1028,5
1029,5
1030,6
1031,5
1032,5
1033,5
1034,5
1035,5
1036,6
1037,4
1038,5
1039,4
1040,5
1041,4
1042,5
1043,5
1044,5
1045,4
1046,5
1047,5
1048,5
1049,5
1050,5
1051,5
1052,5
1053,6
1054,4
1055,5
1056,6
1057,5
1058,5
1059,6
1060,5
1061,5
1062,5
1063,5
1064,6
1065,6
1066,5
1067,5
1068,6
1069,6
1070,4
1071,5
1072,5
1073,5
1074,5
1075,4
1076,6
1077,5
1078,5
1079,5
1080,5
1081,5
1082,5
1083,5
1084,5
1085,4
1086,5
1087,5
1088,4
1089,5
1090,5
1091,5
1092,5
1093,5
1094,5
1095,5
1096,5
1097,4
1098,5
1099,4
1100,5
1101,5
1102,5
1103,5
1104,5
1105,6
1106,5
1107,5
1108,5
1109,5
1110,5
1111,5
1112,5
1113,5
1114,5
1115,4
1116,5
1117,5
1118,5
1119,6
1120,5
1121,6
1122,5
1123,5
1124,5
1125,5
1126,5
1127,5
1128,5
1129,5
1130,6
1131,5
1132,5
1133,5
1134,6
1135,5
1136,5
1137,5
1138,4
1139,5
1140,4
1141,5
1142,4
1143,5
1144,4
1145,5
1146,4
1147,4
1148,5
1149,4
1150,6
1151,5
1152,4
1153,5
1154,5
1155,6
1156,6
1157,4
1158,6
1159,6
1160,5
1161,5
1162,6
1163,4
1164,4
1165,5
1166,5
1167,5
1168,4
1169,6
1170,5
1171,5
1172,5
1173,5
1174,5
1175,5
1176,4
1177,4
1178,4
1179,4
1180,5
1181,5
1182,5
1183,5
1184,5
1185,4
1186,5
1187,5
1188,5
1189,5
1190,5
1191,5
1192,5
1193,6
1194,5
1195,6
1196,6
1197,6
1198,6
1199,5
1200,5
1201,6
1202,5
1203,5
1204,5
1205,4
1206,5
1207,5
1208,5
1209,5
1210,6
1211,5
1212,5
1213,4
1214,5
1215,5
1216,5
1217,5
1218,5
1219,5
1220,5
1221,4
1222,5
1223,5
1224,5
1225,6
1226,5
1227,5
1228,5
1229,5
1230,6
1231,5
1232,5
1233,4
1234,5
1235,5
1236,4
1237,5
1238,5
1239,5
1240,4
1241,5
1242,6
1243,5
1244,5
1245,4
1246,5
1247,4
1248,5
1249,6
1250,5
1251,5
1252,5
1253,4
1254,4
1255,5
1256,4
1257,5
1258,6
1259,4
1260,5
1261,5
1262,5
1263,5
1264,5
1265,5
1266,5
1267,5
1268,5
1269,5
1270,5
1271,5
1272,5
1273,5
1274,5
1275,6
1276,5
1277,5
1278,5
1279,5
1280,5
1281,4
1282,4
1283,4
1284,5
1285,5
1286,6
1287,6
1288,5
1289,5
1290,5
1291,5
1292,6
1293,5
1294,5
1295,5
1296,5
1297,6
1298,6
1299,4
1300,5
1301,5
1302,5
1303,6
1304,5
1305,5
1306,5
1307,6
1308,5
1309,5
1310,5
1311,6
1312,5
1313,5
1314,4
1315,6
1316,5
1317,5
1318,5
1319,5
1320,5
1321,4
1322,5
1323,4
1324,5
1325,5
1326,4
1327,5
1328,4
1329,5
1330,5
1331,5
1332,5
1333,5
1334,4
1335,5
1336,5
1337,5
1338,6
1339,5
1340,5
1341,5
1342,4
1343,5
1344,5
1345,5
1346,5
1347,5
1348,4
1349,5
1350,5
1351,5
1352,5
1353,4
1354,6
1355,5
1356,6
1357,5
1358,5
1359,5
1360,5
1361,5
1362,5
1363,5
1364,5
1365,5
1366,5
1367,4
1368,5
