Round Number, Total Energy Consumption
-1,0.000000
1,0.003743
2,0.102169
3,0.195584
4,0.289409
5,0.384110
6,0.479191
7,0.571836
8,0.666436
9,0.764337
10,0.859552
11,0.953529
12,1.049578
13,1.142178
14,1.233420
15,1.331393
16,1.425474
17,1.522715
18,1.612814
19,1.712192
20,1.802625
21,1.895147
22,1.988601
23,2.081024
24,2.174051
25,2.273571
26,2.367292
27,2.460444
28,2.559951
29,2.654697
30,2.750260
31,2.841767
32,2.934019
33,3.029272
34,3.124917
35,3.218662
36,3.311217
37,3.407636
38,3.502827
39,3.595984
40,3.687551
41,3.779363
42,3.871521
43,3.962480
44,4.055035
45,4.151580
46,4.157348
47,4.162419
48,4.166987
49,4.171632
50,4.178881
51,4.187580
52,4.192222
53,4.285400
54,4.376244
55,4.380445
56,4.471908
57,4.566224
58,4.660083
59,4.664125
60,4.755147
61,4.850271
62,4.947892
63,5.039939
64,5.129757
65,5.137713
66,5.231187
67,5.325547
68,5.420076
69,5.516991
70,5.609352
71,5.700514
72,5.793421
73,5.890314
74,5.983504
75,6.080707
76,6.085130
77,6.179249
78,6.273583
79,6.367478
80,6.461630
81,6.467245
82,6.562293
83,6.657799
84,6.751953
85,6.850454
86,6.950344
87,6.956064
88,7.049246
89,7.143272
90,7.233971
91,7.327900
92,7.333095
93,7.430101
94,7.530182
95,7.624076
96,7.718928
97,7.724182
98,7.817812
99,7.909705
100,7.914955
101,7.919987
102,8.011731
103,8.111192
104,8.202988
105,8.206853
106,8.301478
107,8.394463
108,8.487136
109,8.491759
110,8.585307
111,8.681829
112,8.779494
113,8.874144
114,8.966163
115,9.058217
116,9.154621
117,9.247796
118,9.346311
119,9.351080
120,9.449888
121,9.541445
122,9.546163
123,9.640684
124,9.736308
125,9.836950
126,9.847699
127,9.854078
128,9.945670
129,10.036783
130,10.129529
131,10.226260
132,10.230200
133,10.324168
134,10.418068
135,10.422525
136,10.426354
137,10.517228
138,10.609645
139,10.708658
140,10.807333
141,10.904863
142,10.998303
143,11.098711
144,11.103252
145,11.200523
146,11.292434
147,11.386762
148,11.484342
149,11.579712
150,11.674220
151,11.681045
152,11.771430
153,11.866963
154,11.963766
155,12.053534
156,12.148527
157,12.153268
158,12.248052
159,12.345995
160,12.444624
161,12.448062
162,12.541723
163,12.634031
164,12.729242
165,12.823981
166,12.829031
167,12.924482
168,13.018840
169,13.110919
170,13.116762
171,13.208578
172,13.302111
173,13.395698
174,13.401824
175,13.496767
176,13.590663
177,13.684547
178,13.777338
179,13.781496
180,13.879911
181,13.972674
182,14.068723
183,14.073575
184,14.164902
185,14.258714
186,14.351430
187,14.447144
188,14.451581
189,14.546472
190,14.640477
191,14.733663
192,14.826857
193,14.831922
194,14.922906
195,15.014611
196,15.108214
197,15.199414
198,15.290949
199,15.382952
200,15.387782
201,15.482661
202,15.577742
203,15.581671
204,15.678277
205,15.774535
206,15.866474
207,15.871139
208,15.966094
209,16.058021
210,16.064864
211,16.157597
212,16.250435
213,16.340242
214,16.428568
215,16.433218
216,16.526429
217,16.619818
218,16.718297
219,16.809444
220,16.903197
221,16.997710
222,17.094969
223,17.187267
224,17.285580
225,17.377534
226,17.382375
227,17.479956
228,17.577991
229,17.671611
230,17.767190
231,17.770549
232,17.863130
233,17.956364
234,18.046744
235,18.050680
236,18.146937
237,18.151329
238,18.249076
239,18.344303
240,18.354610
241,18.449448
242,18.460685
243,18.557059
244,18.649697
245,18.742352
246,18.833529
247,18.926655
248,18.931503
249,19.024090
250,19.121416
251,19.213874
252,19.311990
253,19.406061
254,19.504426
255,19.510452
256,19.601293
257,19.700343
258,19.792951
259,19.884500
260,19.980829
261,20.076944
262,20.172248
263,20.176535
264,20.181314
265,20.274997
266,20.372888
267,20.472390
268,20.566336
269,20.657589
270,20.751274
271,20.845316
272,20.937087
273,21.028190
274,21.033450
275,21.127777
276,21.222530
277,21.318217
278,21.415699
279,21.508681
280,21.605114
281,21.611623
282,21.702531
283,21.798540
284,21.892154
285,21.985343
286,21.989447
287,22.081225
288,22.088793
289,22.181030
290,22.270143
291,22.363192
292,22.372270
293,22.465565
294,22.560955
295,22.658516
296,22.756757
297,22.851445
298,22.945802
299,23.039168
300,23.043109
301,23.142774
302,23.147338
303,23.237011
304,23.331388
305,23.335655
306,23.428415
307,23.520294
308,23.524124
309,23.619323
310,23.712015
311,23.804963
312,23.897633
313,23.901981
314,23.993480
315,23.997459
316,24.090541
317,24.187693
318,24.279355
319,24.378590
320,24.473214
321,24.570728
322,24.665211
323,24.670057
324,24.764108
325,24.858089
326,24.864624
327,24.959436
328,25.051634
329,25.150342
330,25.245910
331,25.340494
332,25.439170
333,25.533094
334,25.536693
335,25.627454
336,25.720732
337,25.815475
338,25.911295
339,26.011290
340,26.108619
341,26.113410
342,26.205552
343,26.209467
344,26.299577
345,26.304134
346,26.404204
347,26.495208
348,26.590675
349,26.683568
350,26.687722
351,26.781666
352,26.876779
353,26.971986
354,26.975884
355,27.070639
356,27.167577
357,27.259363
358,27.263817
359,27.363919
360,27.372186
361,27.468474
362,27.568632
363,27.661745
364,27.671856
365,27.770435
366,27.861098
367,27.956376
368,28.050745
369,28.142814
370,28.239499
371,28.335108
372,28.435194
373,28.531881
374,28.623185
375,28.715384
376,28.808801
377,28.902440
378,28.995744
379,29.001761
380,29.093302
381,29.186110
382,29.286230
383,29.376486
384,29.472223
385,29.563390
386,29.567839
387,29.571530
388,29.669839
389,29.762586
390,29.767386
391,29.862823
392,29.955735
393,30.052199
394,30.143158
395,30.148080
396,30.248218
397,30.341637
398,30.434849
399,30.530962
400,30.624298
401,30.720129
402,30.818185
403,30.912007
404,31.006685
405,31.104173
406,31.196830
407,31.292752
408,31.385535
409,31.481118
410,31.573554
411,31.676960
412,31.767397
413,31.771651
414,31.865437
415,31.963242
416,32.057112
417,32.061153
418,32.065305
419,32.069774
420,32.168570
421,32.259013
422,32.352829
423,32.357000
424,32.448958
425,32.454178
426,32.546425
427,32.641707
428,32.650717
429,32.746621
430,32.837973
431,32.929488
432,33.021240
433,33.123292
434,33.214952
435,33.221936
436,33.322709
437,33.420998
438,33.517515
439,33.613846
440,33.704172
441,33.799844
442,33.894332
443,33.995900
444,34.088700
445,34.183805
446,34.275227
447,34.370541
448,34.462504
449,34.554245
450,34.558753
451,34.650217
452,34.741832
453,34.841064
454,34.933033
455,34.937299
456,34.942014
457,35.038301
458,35.131524
459,35.135688
460,35.226827
461,35.322305
462,35.414924
463,35.511649
464,35.602055
465,35.695908
466,35.787020
467,35.791515
468,35.798087
469,35.893992
470,35.986204
471,36.082575
472,36.175087
473,36.266832
474,36.357603
475,36.361453
476,36.457320
477,36.551671
478,36.646856
479,36.736171
480,36.832816
481,36.840811
482,36.933318
483,37.031527
484,37.124102
485,37.216181
486,37.220041
487,37.223732
488,37.322255
489,37.415262
490,37.419338
491,37.511344
492,37.606284
493,37.697302
494,37.701539
495,37.796682
496,37.801274
497,37.804741
498,37.896700
499,37.996636
500,38.088879
501,38.092983
502,38.185936
503,38.189855
504,38.284427
505,38.378409
506,38.473665
507,38.578075
508,38.673387
509,38.765127
510,38.769622
511,38.776229
512,38.869514
513,38.966529
514,39.057630
515,39.061975
516,39.067937
517,39.160367
518,39.256688
519,39.260068
520,39.354484
521,39.448967
522,39.542386
523,39.548760
524,39.558020
525,39.649611
526,39.743366
527,39.836343
528,39.932836
529,40.027402
530,40.031152
531,40.123326
532,40.216539
533,40.310429
534,40.408211
535,40.503832
536,40.604489
537,40.694954
538,40.797102
539,40.888326
540,40.980371
541,40.984329
542,41.075074
543,41.170013
544,41.174591
545,41.269441
546,41.363175
547,41.455657
548,41.555012
549,41.558911
550,41.654900
551,41.659410
552,41.751108
553,41.845188
554,41.849708
555,41.854367
556,41.952059
557,42.046603
558,42.141091
559,42.233910
560,42.238326
561,42.331595
562,42.429487
563,42.435646
564,42.536456
565,42.626529
566,42.633959
567,42.637963
568,42.728519
569,42.733574
570,42.832234
571,42.930390
572,43.028386
573,43.117901
574,43.210573
575,43.302227
576,43.394820
577,43.497242
578,43.594185
579,43.685997
580,43.783383
581,43.877856
582,43.887168
583,43.979349
584,44.071953
585,44.076876
586,44.171119
587,44.266872
588,44.361224
589,44.456895
590,44.554432
591,44.647265
592,44.651098
593,44.746255
594,44.837873
595,44.934876
596,44.938960
597,44.943025
598,45.037410
599,45.132248
600,45.224084
601,45.318116
602,45.322662
603,45.326708
604,45.421624
605,45.512102
606,45.516295
607,45.525421
608,45.621464
609,45.726608
610,45.817607
611,45.910666
612,46.007918
613,46.101465
614,46.197266
615,46.295179
616,46.388381
617,46.488747
618,46.492751
619,46.584347
620,46.675110
621,46.767366
622,46.860187
623,46.954291
624,47.045640
625,47.139856
626,47.144698
627,47.238177
628,47.249268
629,47.339554
630,47.435498
631,47.446422
632,47.450360
633,47.454300
634,47.459441
635,47.550495
636,47.644012
637,47.740503
638,47.832227
639,47.932482
640,48.023643
641,48.125527
642,48.217545
643,48.316231
644,48.319868
645,48.324399
646,48.415563
647,48.509462
648,48.608181
649,48.612479
650,48.709283
651,48.805320
652,48.898012
653,48.990132
654,48.993669
655,49.093519
656,49.185901
657,49.277192
658,49.281926
659,49.380852
660,49.475605
661,49.569091
662,49.661063
663,49.667571
664,49.764443
665,49.856427
666,49.860684
667,49.958259
668,50.052095
669,50.056338
670,50.153104
671,50.247928
672,50.252077
673,50.347044
674,50.441929
675,50.537055
676,50.542382
677,50.634180
678,50.722474
679,50.726472
680,50.826688
681,50.917524
682,51.010811
683,51.015596
684,51.112035
685,51.116339
686,51.208242
687,51.306589
688,51.401973
689,51.499447
690,51.506473
691,51.597043
692,51.685201
693,51.780141
694,51.882504
695,51.887017
696,51.980356
697,52.073029
698,52.076984
699,52.083010
700,52.174767
701,52.273075
702,52.372467
703,52.467798
704,52.556528
705,52.651579
706,52.656296
707,52.743896
708,52.840671
709,52.936964
