Round Number, Total Energy Consumption
454,29.955796
455,29.999079
456,30.043709
457,30.090636
458,30.136233
459,30.178644
460,30.228525
461,30.276777
462,30.321212
463,30.364295
464,30.412213
465,30.451481
466,30.493685
467,30.497056
468,30.546882
469,30.585467
470,30.624388
471,30.667012
472,30.708542
473,30.748469
474,30.788237
475,30.830130
476,30.879221
477,30.929163
478,30.975172
479,31.003182
480,31.051980
481,31.095544
482,31.141428
483,31.182728
484,31.226418
485,31.265972
486,31.310959
487,31.322320
488,31.369264
489,31.410838
490,31.450078
491,31.492409
492,31.534661
493,31.576823
494,31.580155
495,31.622073
496,31.672772
497,31.723729
498,31.763484
499,31.802955
500,31.845133
501,31.887485
502,31.930631
503,31.974555
504,32.019188
505,32.048838
506,32.096462
507,32.140253
508,32.189550
509,32.230791
510,32.278808
511,32.320749
512,32.363280
513,32.406495
514,32.445650
515,32.487971
516,32.536528
517,32.577725
518,32.580763
519,32.627840
520,32.669796
521,32.713171
522,32.753413
523,32.796001
524,32.835585
525,32.865039
526,32.907657
527,32.956252
528,33.004716
529,33.045589
530,33.086476
531,33.125038
532,33.169846
533,33.212053
534,33.219406
535,33.265506
536,33.307912
537,33.352675
538,33.398417
539,33.443720
540,33.485397
541,33.523954
542,33.567650
543,33.614771
544,33.660480
545,33.698443
546,33.750910
547,33.791364
548,33.833195
549,33.870786
550,33.909413
551,33.948682
552,33.991580
553,34.035662
554,34.080038
555,34.121997
556,34.163979
557,34.205996
558,34.208902
559,34.254736
560,34.294054
561,34.336041
562,34.379453
563,34.418757
564,34.456190
565,34.501424
566,34.547326
567,34.588808
568,34.636856
569,34.675989
570,34.719169
571,34.763828
572,34.790636
573,34.828733
574,34.866966
575,34.905633
576,34.948339
577,34.987928
578,35.029172
579,35.074013
580,35.118249
581,35.155765
582,35.198533
583,35.236685
584,35.277857
585,35.316949
586,35.357758
587,35.394140
588,35.402733
589,35.446353
590,35.483624
591,35.521207
592,35.560795
593,35.603989
594,35.644011
595,35.683460
596,35.720528
597,35.762452
598,35.800645
599,35.809813
600,35.850802
601,35.890529
602,35.926588
603,35.971081
604,36.012189
605,36.048421
606,36.084186
607,36.119702
608,36.133448
609,36.165774
610,36.204192
611,36.241444
612,36.278973
613,36.313681
614,36.350487
615,36.389374
616,36.426096
617,36.462014
618,36.468671
619,36.510177
620,36.547076
621,36.580920
622,36.618700
623,36.655652
624,36.696033
625,36.731255
626,36.818257
627,36.855902
628,36.883287
629,36.919374
630,36.958172
631,36.994143
632,37.031349
633,37.066800
634,37.104150
635,37.139249
636,37.174901
637,37.189368
638,37.225047
639,37.259877
640,37.294956
641,37.332520
642,37.368824
643,37.385080
644,37.421117
645,37.456771
646,37.494748
647,37.532503
648,37.568811
649,37.607589
650,37.640756
651,37.676261
652,37.710738
653,37.723403
654,37.758861
655,37.795342
656,37.832691
657,37.868335
658,37.903248
659,37.941496
660,37.977159
661,38.011107
662,38.047119
663,38.091889
664,38.099201
665,38.135401
666,38.171851
667,38.264502
668,38.299040
669,38.335762
670,38.371289
671,38.409649
672,38.444411
673,38.447445
674,38.485830
675,38.522212
676,38.559798
677,38.596735
678,38.632391
679,38.668987
680,38.703244
681,38.738377
682,38.778580
683,38.812212
684,38.826897
685,38.864203
686,38.900002
687,38.934442
688,38.971307
689,39.010997
690,39.047099
691,39.080014
692,39.115950
693,39.151937
694,39.192350
695,39.230021
696,39.267407
697,39.301321
698,39.340208
699,39.376137
700,39.410779
701,39.445417
702,39.459879
703,39.496883
704,39.542302
705,39.580275
706,39.618636
707,39.652805
708,39.690603
709,39.724913
710,39.762358
711,39.798252
712,39.837505
713,39.840966
714,39.877485
715,39.911779
716,39.947382
717,39.983270
718,40.017989
719,40.051991
720,40.085441
721,40.121381
722,40.158841
723,40.195322
724,40.231368
725,40.269033
726,40.302805
727,40.328728
728,40.367267
729,40.403413
730,40.416141
731,40.455162
732,40.489822
733,40.523233
734,40.560905
735,40.595217
736,40.628155
737,40.664156
738,40.698928
739,40.735979
740,40.771222
741,40.796404
742,40.836225
743,40.871353
744,40.907833
745,40.942894
746,40.976069
747,41.007745
748,41.042858
749,41.081333
750,41.093956
751,41.129846
752,41.163787
753,41.199874
754,41.235148
755,41.268756
756,41.301881
757,41.334519
758,41.372611
759,41.414808
760,41.450162
761,41.483917
762,41.520966
763,41.555014
764,41.589776
765,41.600919
766,41.633686
767,41.666956
768,41.699528
769,41.735157
770,41.748543
771,41.787194
772,41.820050
773,41.856587
774,41.890454
775,41.922140
776,41.957323
777,41.991973
778,42.024514
779,42.057475
780,42.090302
781,42.125165
782,42.157755
783,42.190539
784,42.225407
785,42.257150
786,42.290125
787,42.325844
788,42.358465
789,42.399354
790,42.432944
791,42.465025
792,42.496773
793,42.530885
794,42.572563
795,42.576020
796,42.609089
797,42.665598
798,42.696115
799,42.727850
800,42.765952
801,42.797574
802,42.819300
803,42.849888
804,42.880905
805,42.911629
806,42.941710
807,42.973649
808,43.056618
809,43.089324
810,43.121613
811,43.152724
812,43.187226
813,43.218961
814,43.250894
815,43.275860
816,43.307209
817,43.338662
818,43.373471
819,43.405525
820,43.440276
821,43.448813
822,43.478492
823,43.508010
824,43.538995
825,43.570885
826,43.602263
827,43.631102
828,43.660297
829,43.690239
830,43.720494
831,43.749731
832,43.779759
833,43.808728
834,43.838801
835,43.868515
836,43.900048
837,43.914720
838,43.946345
839,43.977246
840,44.007715
841,44.036277
842,44.065406
843,44.097275
844,44.126068
845,44.159132
846,44.188368
