Round Number, Network Remaining Energy
454,20.044204
455,20.000921
456,19.956291
457,19.909364
458,19.863767
459,19.821356
460,19.771475
461,19.723223
462,19.678788
463,19.635705
464,19.587787
465,19.548519
466,19.506315
467,19.502944
468,19.453118
469,19.414533
470,19.375612
471,19.332988
472,19.291458
473,19.251531
474,19.211763
475,19.169870
476,19.120779
477,19.070837
478,19.024828
479,18.996818
480,18.948020
481,18.904456
482,18.858572
483,18.817272
484,18.773582
485,18.734028
486,18.689041
487,18.677680
488,18.630736
489,18.589162
490,18.549922
491,18.507591
492,18.465339
493,18.423177
494,18.419845
495,18.377927
496,18.327228
497,18.276271
498,18.236516
499,18.197045
500,18.154867
501,18.112515
502,18.069369
503,18.025445
504,17.980812
505,17.951162
506,17.903538
507,17.859747
508,17.810450
509,17.769209
510,17.721192
511,17.679251
512,17.636720
513,17.593505
514,17.554350
515,17.512029
516,17.463472
517,17.422275
518,17.419237
519,17.372160
520,17.330204
521,17.286829
522,17.246587
523,17.203999
524,17.164415
525,17.134961
526,17.092343
527,17.043748
528,16.995284
529,16.954411
530,16.913524
531,16.874962
532,16.830154
533,16.787947
534,16.780594
535,16.734494
536,16.692088
537,16.647325
538,16.601583
539,16.556280
540,16.514603
541,16.476046
542,16.432350
543,16.385229
544,16.339520
545,16.301557
546,16.249090
547,16.208636
548,16.166805
549,16.129214
550,16.090587
551,16.051318
552,16.008420
553,15.964338
554,15.919962
555,15.878003
556,15.836021
557,15.794004
558,15.791098
559,15.745264
560,15.705946
561,15.663959
562,15.620547
563,15.581243
564,15.543810
565,15.498576
566,15.452674
567,15.411192
568,15.363144
569,15.324011
570,15.280831
571,15.236172
572,15.209364
573,15.171267
574,15.133034
575,15.094367
576,15.051661
577,15.012072
578,14.970828
579,14.925987
580,14.881751
581,14.844235
582,14.801467
583,14.763315
584,14.722143
585,14.683051
586,14.642242
587,14.605860
588,14.597267
589,14.553647
590,14.516376
591,14.478793
592,14.439205
593,14.396011
594,14.355989
595,14.316540
596,14.279472
597,14.237548
598,14.199355
599,14.190187
600,14.149198
601,14.109471
602,14.073412
603,14.028919
604,13.987811
605,13.951579
606,13.915814
607,13.880298
608,13.866552
609,13.834226
610,13.795808
611,13.758556
612,13.721027
613,13.686319
614,13.649513
615,13.610626
616,13.573904
617,13.537986
618,13.531329
619,13.489823
620,13.452924
621,13.419080
622,13.381300
623,13.344348
624,13.303967
625,13.268745
626,13.181743
627,13.144098
628,13.116713
629,13.080626
630,13.041828
631,13.005857
632,12.968651
633,12.933200
634,12.895850
635,12.860751
636,12.825099
637,12.810632
638,12.774953
639,12.740123
640,12.705044
641,12.667480
642,12.631176
643,12.614920
644,12.578883
645,12.543229
646,12.505252
647,12.467497
648,12.431189
649,12.392411
650,12.359244
651,12.323739
652,12.289262
653,12.276597
654,12.241139
655,12.204658
656,12.167309
657,12.131665
658,12.096752
659,12.058504
660,12.022841
661,11.988893
662,11.952881
663,11.908111
664,11.900799
665,11.864599
666,11.828149
667,11.735498
668,11.700960
669,11.664238
670,11.628711
671,11.590351
672,11.555589
673,11.552555
674,11.514170
675,11.477788
676,11.440202
677,11.403265
678,11.367609
679,11.331013
680,11.296756
681,11.261623
682,11.221420
683,11.187788
684,11.173103
685,11.135797
686,11.099998
687,11.065558
688,11.028693
689,10.989003
690,10.952901
691,10.919986
692,10.884050
693,10.848063
694,10.807650
695,10.769979
696,10.732593
697,10.698679
698,10.659792
699,10.623863
700,10.589221
701,10.554583
702,10.540121
703,10.503117
704,10.457698
705,10.419725
706,10.381364
707,10.347195
708,10.309397
709,10.275087
710,10.237642
711,10.201748
712,10.162495
713,10.159034
714,10.122515
715,10.088221
716,10.052618
717,10.016730
718,9.982011
719,9.948009
720,9.914559
721,9.878619
722,9.841159
723,9.804678
724,9.768632
725,9.730967
726,9.697195
727,9.671272
728,9.632733
729,9.596587
730,9.583859
731,9.544838
732,9.510178
733,9.476767
734,9.439095
735,9.404783
736,9.371845
737,9.335844
738,9.301072
739,9.264021
740,9.228778
741,9.203596
742,9.163775
743,9.128647
744,9.092167
745,9.057106
746,9.023931
747,8.992255
748,8.957142
749,8.918667
750,8.906044
751,8.870154
752,8.836213
753,8.800126
754,8.764852
755,8.731244
756,8.698119
757,8.665481
758,8.627389
759,8.585192
760,8.549838
761,8.516083
762,8.479034
763,8.444986
764,8.410224
765,8.399081
766,8.366314
767,8.333044
768,8.300472
769,8.264843
770,8.251457
771,8.212806
772,8.179950
773,8.143413
774,8.109546
775,8.077860
776,8.042677
777,8.008027
778,7.975486
779,7.942525
780,7.909698
781,7.874835
782,7.842245
783,7.809461
784,7.774593
785,7.742850
786,7.709875
787,7.674156
788,7.641535
789,7.600646
790,7.567056
791,7.534975
792,7.503227
793,7.469115
794,7.427437
795,7.423980
796,7.390911
797,7.334402
798,7.303885
799,7.272150
800,7.234048
801,7.202426
802,7.180700
803,7.150112
804,7.119095
805,7.088371
806,7.058290
807,7.026351
808,6.943382
809,6.910676
810,6.878387
811,6.847276
812,6.812774
813,6.781039
814,6.749106
815,6.724140
816,6.692791
817,6.661338
818,6.626529
819,6.594475
820,6.559724
821,6.551187
822,6.521508
823,6.491990
824,6.461005
825,6.429115
826,6.397737
827,6.368898
828,6.339703
829,6.309761
830,6.279506
831,6.250269
832,6.220241
833,6.191272
834,6.161199
835,6.131485
836,6.099952
837,6.085280
838,6.053655
839,6.022754
840,5.992285
841,5.963723
842,5.934594
843,5.902725
844,5.873932
845,5.840868
846,5.811632
847,5.779173
848,5.750701
849,5.722388
850,5.694258
851,5.663629
852,5.634004
853,5.602757
854,5.575254
855,5.546478
856,5.517768
857,5.489344
858,5.460390
859,5.429442
860,5.400005
861,5.378394
862,5.349444
863,5.320374
864,5.290611
865,5.267120
866,5.238837
867,5.209520
868,5.181844
869,5.153357
870,5.124256
871,5.097056
872,5.069382
873,5.040927
874,5.013324
875,4.985388
876,4.954359
877,4.927257
878,4.901618
879,4.898570
880,4.871628
881,4.843018
882,4.816494
883,4.789116
884,4.763128
885,4.736091
886,4.709439
887,4.682788
888,4.680291
889,4.654839
890,4.628240
891,4.602208
892,4.576651
893,4.546701
894,4.528085
895,4.502459
896,4.474703
897,4.448930
898,4.422340
899,4.395305
900,4.369242
901,4.342433
902,4.316473
903,4.288811
904,4.260079
905,4.234909
906,4.204481
907,4.178709
908,4.175672
909,4.149379
910,4.122943
911,4.092436
912,4.067484
913,4.023350
914,3.998453
915,3.972627
916,3.965299
917,3.939366
918,3.913791
919,3.889246
920,3.861559
921,3.822151
922,3.818265
923,3.792793
